year,resource,variable,units,magnitude,source,data_value,flag
2014,Total generation,Generation,Gigawatt hours,Actual,MBIE,42033,R
2014,Total generation,Prices,Number,Average,Electricity Authority,69,F
2014,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1151755,R
2014,Waste heat,Generation,Gigawatt hours,Actual,MBIE,48,F
2014,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,944002,R
2014,Wind,Generation,Gigawatt hours,Actual,MBIE,2067,F
2014,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2014,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,856841,R
2014,Wind,Other changes,Dollars,Thousands,Environmental Accounts,87161,R
2014,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,56640,R
2014,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,166511,R
2014,Wood,Generation,Gigawatt hours,Actual,MBIE,365,F
2014,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2014,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,156249,R
2014,Wood,Other changes,Dollars,Thousands,Environmental Accounts,10262,R
2014,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,9991,R
2015,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,102671,R
2015,Biogas,Generation,Gigawatt hours,Actual,MBIE,232,F
2015,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2015,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,93402,R
2015,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,9269,R
2015,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,6160,R
2015,Coal,Generation,Gigawatt hours,Actual,MBIE,2152,F
2015,Gas,Generation,Gigawatt hours,Actual,MBIE,6624,F
2015,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,3198359,R
2015,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7214,R
2015,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,F
2015,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2954743,R
2015,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,243615,R
2015,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,191902,R
2015,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,10521104,R
2015,Hydro,Generation,Gigawatt hours,Actual,MBIE,23732,F
2015,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.56,F
2015,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,10592411,R
2015,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-71308,R
2015,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,631266,R
2015,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2015,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,14938613,R
2015,Renewable,Generation,Gigawatt hours,Actual,MBIE,33697,R
2015,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.79,F
2015,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,14755138,R
2015,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,183475,R
2015,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,896317,R
2015,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.79,F
2015,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,10334,R
2015,Solar,Generation,Gigawatt hours,Actual,MBIE,23,R
2015,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2015,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,4069,R
2015,Solar,Other changes,Dollars,Thousands,Environmental Accounts,6265,R
2015,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,620,R
2015,Total generation,Generation,Gigawatt hours,Actual,MBIE,42523,R
2015,Total generation,Prices,Number,Average,Electricity Authority,74,F
2015,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1131088,R
2015,Waste heat,Generation,Gigawatt hours,Actual,MBIE,47,F
2015,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,951321,R
2015,Wind,Generation,Gigawatt hours,Actual,MBIE,2146,F
2015,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2015,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,944002,R
2015,Wind,Other changes,Dollars,Thousands,Environmental Accounts,7319,R
2015,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,57079,R
2015,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,154824,R
2015,Wood,Generation,Gigawatt hours,Actual,MBIE,349,F
2015,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2015,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,166511,R
2015,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-11686,R
2015,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,9289,R
2016,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,97181,R
2016,Biogas,Generation,Gigawatt hours,Actual,MBIE,248,F
2016,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2016,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,102671,R
2016,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-5490,R
2016,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5831,R
2016,Coal,Generation,Gigawatt hours,Actual,MBIE,1389,F
2016,Gas,Generation,Gigawatt hours,Actual,MBIE,6209,F
2016,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2991202,R
2016,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7633,R
2016,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.18,R
2016,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,3198359,R
2016,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,-207157,R
2016,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,179472,R
2016,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9708548,R
2016,Hydro,Generation,Gigawatt hours,Actual,MBIE,24775,F
2016,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,R
2016,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,10521104,R
2016,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-812555,R
2016,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,582513,R
2016,Oil,Generation,Gigawatt hours,Actual,MBIE,1,F
2016,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13891646,R
2016,Renewable,Generation,Gigawatt hours,Actual,MBIE,35450,R
2016,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.82,F
2016,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,14938613,R
2016,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-1046967,R
2016,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,833499,R
2016,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.82,F
2016,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,16146,R
2016,Solar,Generation,Gigawatt hours,Actual,MBIE,41,F
2016,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2016,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,10334,R
2016,Solar,Other changes,Dollars,Thousands,Environmental Accounts,5812,R
2016,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,969,R
2016,Total generation,Generation,Gigawatt hours,Actual,MBIE,43099,R
2016,Total generation,Prices,Number,Average,Electricity Authority,62,F
2016,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1013334,R
2016,Waste heat,Generation,Gigawatt hours,Actual,MBIE,50,F
2016,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,942510,R
2016,Wind,Generation,Gigawatt hours,Actual,MBIE,2405,F
2016,Wind,Gigawatt hours,Number,Proportion,MBIE,0.06,F
2016,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,951321,R
2016,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-8811,R
2016,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,56551,R
2016,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,136058,R
2016,Wood,Generation,Gigawatt hours,Actual,MBIE,347,F
2016,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2016,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,154824,R
2016,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-18766,R
2016,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8164,R
2017,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,95068,R
2017,Biogas,Generation,Gigawatt hours,Actual,MBIE,265,F
2017,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2017,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,97181,R
2017,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-2113,R
2017,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5704,R
2017,Coal,Generation,Gigawatt hours,Actual,MBIE,819,F
2017,Gas,Generation,Gigawatt hours,Actual,MBIE,5149,F
2017,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2684075,R
2017,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7473,R
2017,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.18,R
2017,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2991202,R
2017,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,-307127,R
2017,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,161045,R
2017,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9342297,R
2017,Hydro,Generation,Gigawatt hours,Actual,MBIE,26010,F
2017,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.61,F
2017,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9708548,R
2017,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-366251,R
2017,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,560538,R
2017,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2017,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13113366,R
2017,Renewable,Generation,Gigawatt hours,Actual,MBIE,36509,R
2017,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.86,F
2017,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13891646,R
2017,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-778280,R
2017,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,786802,R
2017,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.86,F
2017,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,21820,R
2017,Solar,Generation,Gigawatt hours,Actual,MBIE,61,R
2017,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2017,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,16146,R
2017,Solar,Other changes,Dollars,Thousands,Environmental Accounts,5674,R
2017,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,1309,R
2017,Total generation,Generation,Gigawatt hours,Actual,MBIE,42532,R
2017,Total generation,Prices,Number,Average,Electricity Authority,52,F
2017,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,916604,R
2017,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51,F
2017,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,852120,R
2017,Wind,Generation,Gigawatt hours,Actual,MBIE,2372,F
2017,Wind,Gigawatt hours,Number,Proportion,MBIE,0.06,F
2017,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,942510,R
2017,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-90390,R
2017,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,51127,R
2017,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,117985,R
2017,Wood,Generation,Gigawatt hours,Actual,MBIE,328,F
2017,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2017,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,136058,R
2017,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-18073,R
2017,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7079,R
2018,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,75212,R
2018,Biogas,Generation,Gigawatt hours,Actual,MBIE,260,R
2018,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2018,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,95068,R
2018,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-19856,R
2018,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4513,R
2018,Coal,Generation,Gigawatt hours,Actual,MBIE,1273,F
2018,Gas,Generation,Gigawatt hours,Actual,MBIE,6964,R
2018,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2158225,R
2018,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7466,R
2018,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,F
2018,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2684075,R
2018,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,-525851,R
2018,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,129493,R
2018,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7099230,R
2018,Hydro,Generation,Gigawatt hours,Actual,MBIE,24558,F
2018,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2018,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9342297,R
2018,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-2243067,R
2018,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,425954,R
2018,Oil,Generation,Gigawatt hours,Actual,MBIE,6,F
2018,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,10001589,R
2018,Renewable,Generation,Gigawatt hours,Actual,MBIE,34598,R
2018,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.81,F
2018,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13113366,R
2018,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-3111777,R
2018,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,600095,R
2018,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.81,F
2018,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,23905,R
2018,Solar,Generation,Gigawatt hours,Actual,MBIE,83,R
2018,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2018,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,21820,R
2018,Solar,Other changes,Dollars,Thousands,Environmental Accounts,2084,R
2018,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,1434,R
2018,Total generation,Generation,Gigawatt hours,Actual,MBIE,42886,R
2018,Total generation,Prices,Number,Average,Electricity Authority,86,F
2018,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,743848,R
2018,Waste heat,Generation,Gigawatt hours,Actual,MBIE,45,F
2018,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,558082,R
2018,Wind,Generation,Gigawatt hours,Actual,MBIE,1931,F
2018,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2018,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,852120,R
2018,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-294038,R
2018,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,33485,R
2018,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,86936,R
2018,Wood,Generation,Gigawatt hours,Actual,MBIE,301,F
2018,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2018,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,117985,R
2018,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-31050,R
2018,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,5216,R
2019,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,99196,R
2019,Biogas,Generation,Gigawatt hours,Actual,MBIE,258,R
2019,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,R
2019,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,75212,R
2019,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,23984,R
2019,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5952,R
2019,Coal,Generation,Gigawatt hours,Actual,MBIE,1871,R
2019,Gas,Generation,Gigawatt hours,Actual,MBIE,5123,R
2019,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2925178,R
2019,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7611,R
2019,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.18,R
2019,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2158225,R
2019,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,766954,R
2019,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,175511,R
2019,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9991647,R
2019,Hydro,Generation,Gigawatt hours,Actual,MBIE,25996,R
2019,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.6,R
2019,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7099230,R
2019,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,2892418,R
2019,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,599499,R
2019,Oil,Generation,Gigawatt hours,Actual,MBIE,12,R
2019,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13974731,R
2019,Renewable,Generation,Gigawatt hours,Actual,MBIE,36359,R
2019,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.84,R
2019,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,10001589,R
2019,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,3973142,R
2019,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,838484,R
2019,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.84,R
2019,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,42098,R
2019,Solar,Generation,Gigawatt hours,Actual,MBIE,110,R
2019,Solar,Gigawatt hours,Number,Proportion,MBIE,0,R
2019,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,23905,R
2019,Solar,Other changes,Dollars,Thousands,Environmental Accounts,18193,R
2019,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,2526,R
2019,Total generation,Generation,Gigawatt hours,Actual,MBIE,43415,R
2019,Total generation,Prices,Number,Average,Electricity Authority,115,R
2019,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1001214,R
2019,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51,R
2019,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,800115,R
2019,Wind,Generation,Gigawatt hours,Actual,MBIE,2082,R
2019,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,R
2019,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,558082,R
2019,Wind,Other changes,Dollars,Thousands,Environmental Accounts,242033,R
2019,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,48007,R
2019,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,116496,R
2019,Wood,Generation,Gigawatt hours,Actual,MBIE,303,R
2019,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,R
2019,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,86936,R
2019,Wood,Other changes,Dollars,Thousands,Environmental Accounts,29561,R
2019,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,6990,R
2020,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,122269,P
2020,Biogas,Generation,Gigawatt hours,Actual,MBIE,257,P
2020,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,P
2020,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,99196,P
2020,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,23073,P
2020,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,7336,P
2020,Coal,Generation,Gigawatt hours,Actual,MBIE,1965,P
2020,Gas,Generation,Gigawatt hours,Actual,MBIE,5483,P
2020,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,3640002,P
2020,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7661,P
2020,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.18,P
2020,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2925178,P
2020,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,714824,P
2020,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,218400,P
2020,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,12087434,P
2020,Hydro,Generation,Gigawatt hours,Actual,MBIE,25440,P
2020,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.58,P
2020,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9991647,P
2020,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,2095787,P
2020,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,725246,P
2020,Oil,Generation,Gigawatt hours,Actual,MBIE,3,P
2020,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,17144576,P
2020,Renewable,Generation,Gigawatt hours,Actual,MBIE,36083,P
2020,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.83,P
2020,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13974731,P
2020,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,3169845,P
2020,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,1028675,P
2020,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.83,P
2020,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,64646,P
2020,Solar,Generation,Gigawatt hours,Actual,MBIE,136,P
2020,Solar,Gigawatt hours,Number,Proportion,MBIE,0,P
2020,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,42098,P
2020,Solar,Other changes,Dollars,Thousands,Environmental Accounts,22548,P
2020,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,3879,P
2020,Total generation,Generation,Gigawatt hours,Actual,MBIE,43578,P
2020,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1242336,P
2020,Waste heat,Generation,Gigawatt hours,Actual,MBIE,44,P
2020,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,1079625,P
2020,Wind,Generation,Gigawatt hours,Actual,MBIE,2272,P
2020,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,P
2020,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,800115,P
2020,Wind,Other changes,Dollars,Thousands,Environmental Accounts,279510,P
2020,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,64777,P
2020,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,150599,P
2020,Wood,Generation,Gigawatt hours,Actual,MBIE,317,P
2020,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,P
2020,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,116496,P
2020,Wood,Other changes,Dollars,Thousands,Environmental Accounts,34103,P
2020,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,9036,P
